text
"listening to this in every moment!
makes me relaxed and peaceful"
I love disney. Better than the pop music of today
Amo las canciones me inspiran muchísimo
His gives me memories when I went to Disneyland. Aw I miss that magical place lol
Oooo
?
Love all of these..
i hope it can be downloaded :<
"Buenas Noches, Que paz y tranquilidad aporta está música "
J'adore pour travailler :)
i’m listening to this whole studying for exams
Wonderful music
It's very good..
"ME: be like 20 
SONG: do u want to build a snowman
ME:YESSSSSSSSSSSSSSSSSSSSSSSSSS




like if this is u :p"
""
It makes me calm and happy
"Fell asleep 
🥴"
"Excelentes melodías, para disfrutar en familia"
"  
 ~~"
This is helpful I listened to this every night it helps me sleep and I have a good night sleep by this and I wake up all good in mornings thx for this playlist sort of thing
3:23:18
*Beautiful*
Good!!
I'm using the music for my anime drawings. The music made me less stress.TQ
ฉันมีความสุขที่มันเป็นเครื่องมือ ฉันชอบทายเพลง แต่ฉันผิดไป 3 ข้อ :( แต่ฉันชอบเพลงของคุณมันทำโดยคุณทั้งหมดหรือไม่ถ้าใช่งานยอดเยี่ยม! :)
wonderful....! 
 ?
playing this while studying 
"Me:starts to watch videos
Me:keep quiet,do not sing, don't sing,please do not sing
Me: Neither one prepared. BEAUTY and the BEAST!"
Я в восторге!
"absolutely stunning thank you so much for these, they really help me enjoy studying :)))"
Que hermosa melodía
I love the songs
3:23:18
"Bella y bestia 0:00
Aladin 3:33
Enredados 7:05
Frozen 10:00"
"Love  the MUSIC so Great  
Like a flow of Rainbow "
Me encanta
"Esta música me lleva a mi más tierna infancia, cuando veía películas tan entrañables como la Bella y la bestia (00:00) o también Aladdín (3:32)"
Thank you for some lovely music
I love this
"no one
me reading a book while listening to this video
me again BECAUSE ITS THE FIRST TIME IN FOREVER"
""
When my now 6 month old was in children's hospital at only 6 weeks they played this for him in his room and it soothed him and still does
""
These songs are the best and so relaxing
Interessante!
All these song make me sleepy
This is so nice it makes me sleep right away * sleeps right away*
Que bonita y relajante música 
it pace and quite
i like all the songs
"0:00 Beauty And The Beast/
3:31 A Whole New World/
7:07 For The First Time In Forever/ 
9:55 Let It Go/
13:47 Part Of Your World/
17:34 I See The Light/
20:32 When You Wish Upon a Star/
24:09 Someday My Prince Come/
27:02 Do You Wanna Build a Snowman?/ 
30:28 Under The Sea/"
wow this is solo relaxing
""
""
this is soooo realixing and cute
disney is for losers fuck off all of ya
MY FAVRIT SONG ARAL
